timestamp,crowd_count,density_level
2026-03-02 10:47:51,5,Low
2026-03-02 10:47:52,4,Low
2026-03-02 10:47:53,3,Low
2026-03-02 10:47:54,3,Low
2026-03-02 10:47:55,4,Low
2026-03-02 10:47:56,5,Low
2026-03-02 10:47:58,4,Low
2026-03-02 10:47:59,4,Low
2026-03-02 10:48:00,4,Low
2026-03-02 10:48:01,4,Low
2026-03-02 10:48:02,4,Low
2026-03-02 10:48:03,4,Low
2026-03-02 10:48:04,4,Low
2026-03-02 10:48:05,4,Low
2026-03-02 10:48:06,4,Low
2026-03-02 10:48:07,5,Low
2026-03-02 10:48:08,5,Low
2026-03-02 10:48:09,5,Low
2026-03-02 10:48:10,4,Low
2026-03-02 10:48:11,3,Low
2026-03-02 10:48:12,5,Low
2026-03-02 10:48:14,5,Low
2026-03-02 10:48:15,4,Low
2026-03-02 10:48:16,3,Low
2026-03-02 10:48:17,2,Low
2026-03-02 10:48:18,3,Low
2026-03-02 10:48:19,3,Low
2026-03-02 10:48:20,2,Low
2026-03-02 10:48:21,2,Low
2026-03-02 10:48:22,3,Low
2026-03-02 10:48:23,3,Low
2026-03-02 10:48:24,3,Low
2026-03-02 10:48:25,2,Low
2026-03-02 10:48:27,2,Low
2026-03-02 10:48:28,5,Low
2026-03-02 10:48:29,5,Low
2026-03-02 10:48:30,5,Low
2026-03-02 10:48:31,5,Low
2026-03-02 10:48:32,5,Low
2026-03-02 10:48:33,6,Low
2026-03-02 10:48:34,7,Low
2026-03-02 10:48:35,9,Low
2026-03-02 10:48:36,9,Low
2026-03-02 10:48:37,6,Low
2026-03-02 10:48:38,5,Low
2026-03-02 10:48:39,4,Low
2026-03-02 10:48:40,4,Low
2026-03-02 10:48:41,4,Low
2026-03-02 10:48:42,5,Low
2026-03-02 10:48:43,5,Low
2026-03-02 10:48:44,5,Low
2026-03-02 10:48:45,6,Low
2026-03-02 10:48:46,5,Low
2026-03-02 10:48:47,1,Low
2026-03-02 10:48:49,2,Low
2026-03-02 10:48:50,2,Low
2026-03-02 10:48:51,4,Low
2026-03-02 10:48:52,4,Low
2026-03-02 10:48:53,4,Low
2026-03-02 13:40:51,0,Low
2026-03-02 13:40:52,2,Low
2026-03-02 13:40:53,2,Low
2026-03-02 13:40:54,2,Low
2026-03-02 13:40:55,2,Low
2026-03-02 13:40:56,3,Low
2026-03-02 13:40:57,3,Low
2026-03-02 13:40:58,3,Low
2026-03-02 13:41:00,3,Low
2026-03-02 13:41:01,3,Low
2026-03-02 13:41:02,3,Low
2026-03-02 13:41:03,3,Low
2026-03-02 13:41:04,3,Low
2026-03-02 13:41:05,4,Low
2026-03-02 13:41:06,4,Low
2026-03-02 13:41:07,4,Low
2026-03-02 13:41:08,2,Low
2026-03-02 13:41:09,3,Low
2026-03-02 13:41:10,3,Low
2026-03-02 13:41:11,3,Low
2026-03-02 13:41:12,2,Low
2026-03-02 13:41:13,3,Low
2026-03-02 13:41:14,3,Low
2026-03-02 13:41:15,3,Low
2026-03-02 13:41:16,4,Low
2026-03-02 13:41:17,4,Low
2026-03-02 13:41:18,3,Low
2026-03-02 13:41:19,3,Low
2026-03-02 13:41:20,3,Low
2026-03-02 13:41:21,3,Low
2026-03-02 13:41:22,3,Low
2026-03-02 13:41:23,3,Low
2026-03-02 13:41:24,3,Low
2026-03-02 13:41:25,3,Low
2026-03-02 13:41:26,3,Low
2026-03-02 13:41:27,4,Low
2026-03-02 13:41:28,4,Low
2026-03-02 13:41:29,3,Low
2026-03-02 13:41:30,4,Low
2026-03-02 13:41:32,3,Low
2026-03-02 13:41:33,4,Low
2026-03-02 13:41:34,5,Low
2026-03-02 13:41:35,5,Low
2026-03-02 13:41:36,4,Low
2026-03-02 13:41:37,4,Low
2026-03-02 13:41:38,4,Low
2026-03-02 13:41:39,4,Low
2026-03-02 13:41:40,3,Low
2026-03-02 13:41:41,4,Low
2026-03-02 13:41:42,4,Low
2026-03-02 13:41:43,3,Low
2026-03-02 13:41:44,4,Low
2026-03-02 13:41:45,3,Low
2026-03-02 13:41:46,4,Low
2026-03-02 13:41:47,6,Low
2026-03-02 13:41:48,11,Medium
2026-03-02 13:41:49,12,Medium
2026-03-02 13:41:50,8,Low
2026-03-02 13:41:51,7,Low
2026-03-02 13:41:52,3,Low
2026-03-02 13:41:53,2,Low
2026-03-02 13:41:54,7,Low
2026-03-02 13:41:55,6,Low
2026-03-02 13:41:56,3,Low
2026-03-02 13:41:57,2,Low
2026-03-02 13:41:58,1,Low
2026-03-02 13:41:59,0,Low
2026-03-02 13:42:00,6,Low
2026-03-02 13:42:01,10,Low
2026-03-02 13:42:02,9,Low
2026-03-02 13:42:03,10,Low
2026-03-02 13:42:05,10,Low
2026-03-02 13:42:06,10,Low
2026-03-02 13:42:07,8,Low
2026-03-02 13:42:08,9,Low
2026-03-02 13:42:09,11,Medium
2026-03-02 13:42:10,10,Low
2026-03-02 13:42:11,10,Low
2026-03-02 13:42:12,10,Low
2026-03-02 13:42:13,10,Low
2026-03-02 13:42:14,3,Low
2026-03-02 13:42:15,3,Low
2026-03-02 13:42:16,3,Low
2026-03-02 13:42:17,3,Low
2026-03-02 13:42:18,1,Low
2026-03-02 13:42:19,1,Low
2026-03-02 13:42:20,1,Low
2026-03-02 13:42:21,1,Low
2026-03-02 13:42:22,1,Low
2026-03-02 13:42:23,1,Low
2026-03-02 13:42:24,1,Low
2026-03-02 13:42:25,1,Low
2026-03-02 13:42:26,1,Low
2026-03-02 13:42:27,1,Low
2026-03-02 13:42:29,1,Low
2026-03-02 13:42:30,1,Low
2026-03-02 13:42:31,1,Low
2026-03-02 13:42:32,1,Low
2026-03-02 13:42:33,1,Low
2026-03-02 14:20:40,0,Low
2026-03-02 14:20:42,3,Low
2026-03-02 14:20:43,4,Low
2026-03-02 14:20:44,4,Low
2026-03-02 14:20:45,5,Low
2026-03-02 14:20:46,4,Low
2026-03-02 14:20:47,6,Low
2026-03-02 14:20:48,6,Low
2026-03-02 14:20:49,8,Low
2026-03-02 14:20:50,5,Low
2026-03-02 14:20:51,5,Low
2026-03-02 14:20:52,6,Low
2026-03-02 14:20:53,4,Low
2026-03-02 14:20:54,4,Low
2026-03-02 14:20:55,4,Low
2026-03-02 14:20:56,4,Low
2026-03-02 14:20:57,3,Low
2026-03-02 14:20:58,2,Low
2026-03-02 14:20:59,2,Low
2026-03-02 14:21:00,2,Low
2026-03-02 14:21:01,2,Low
2026-03-02 14:21:03,2,Low
2026-03-02 14:21:04,2,Low
2026-03-02 14:21:05,3,Low
2026-03-02 14:21:06,4,Low
2026-03-02 14:21:07,4,Low
2026-03-02 14:21:08,5,Low
2026-03-02 14:21:09,5,Low
2026-03-02 14:21:10,5,Low
2026-03-02 14:21:11,4,Low
2026-03-02 14:21:12,5,Low
