Timestamp,Mode,Raw_Count,Integer_Count
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:32,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:33,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:34,LIVE LOCAL,1.0,1
21:24:35,LIVE LOCAL,1.0,1
21:24:35,LIVE LOCAL,1.0,1
21:24:35,LIVE LOCAL,1.0,1
21:24:35,LIVE LOCAL,1.0,1
21:24:35,LIVE LOCAL,1.0,1
21:24:35,LIVE LOCAL,1.0,1
21:24:35,LIVE LOCAL,1.0,1
21:24:35,LIVE LOCAL,1.0,1
